"","WY","Q.cms","Q.mm"
"1",2000,0.00437123203254925,0.121134598750855
"2",2001,0.64654849135228,17.9170063473511
"3",2002,0.0994623902448172,2.75627938379662
"4",2003,0.898919907295497,24.9106662534893
"5",2004,0.329398065226005,9.12820508345105
"6",2005,2.80388117858766,77.7005244709495
"7",2006,0.269970359543895,7.48135787221113
"8",2007,0.301683664597155,8.36018984774681
"9",2008,0.607899287402767,16.8459683018749
"10",2009,0.913127578587472,25.3043860442307
"11",2010,2.43647591585144,67.5190724800447
"12",2011,2.93066127060379,81.2138258609502
"13",2012,0.833193337236678,23.0892663296097
"14",2013,0.475832413100422,13.1861607904525
"15",2014,0.28211444658887,7.81789208051547
"16",2015,0.668118308689419,18.5147442731366
"17",2016,0.817543338930492,22.6555770971107
"18",2017,3.21475908871887,89.0866806870285
"19",2018,0.416273589062034,11.5356800568192
"20",2019,2.05589282287096,56.9724394218441
"21",2020,4.21510912002382,116.808155719746
"22",2021,1.16166807423144,32.1918843488248
